valid_period,content
,72=Rear-view Mirrors
",2001",73=Mirrors-Other (through 2001)
"2004,",73=Driver Not Complied With Learner’s Permit or Intermediate GDL Restrictions (since 2004) 
,74=Driver Not Complying w/ Imposed Restrictions (Non-GDL)
,77=Severe Crosswind 
,78=Wind From Passing Truck 
,79=Slippery or Loose Surface 
,80=Tire Blowout or Flat 
,81=Debris or Objects in Road 
,"82=Ruts, Holes, Bumps in Road "
,83=Live Animals in Road 
,84=Vehicle in Road
,85=Phantom Vehicle
,"86=Pedestrian, Pedalcyclist, Other Non-Motorist"
,"87=Ice, Water, Snow, Slush, Sand, Dirt, Oil, or Wet Leaves on Road"
,89=Driver has Driving Record or License from More than One State 
",2020","91=Non-Traffic Violation Charged (manslaughter, homicide, other assault offense w/o malice) (through 2020)"
20102011,92=Other Non-Moving Traffic Violation (through 2011) 
",2009",Possible Distraction Inside Vehicle (through 2009)
,93=Cellular Telephone 
20022009,94=Cellular Telephone in Use (2002-2009); 
",2001",95=Computer (through 2001)
20022009,"95=Computer, Fax, Printer (2002-2009)"
,96=On-Board Navigation System
,97=Two-Way Radio
,98=Head-Up Display
,99=Unknown
,94=Emergency Medical Service Personnel
,95=Fire Personnel
,96=Tow Operator
,"97=Transportation i.e. maintenance workers, saftety service patrol operators, etc."
,"0=NOT a Non-Motorist (e.g., an MV occupant)"
"2010,","1=(since 2010) At Intersection, In Marked Crosswalk "
",2009","1=(through 2009) At Intersection, In Crosswalk "
"2010,","2= (since 2010) At Intersection, Unmarked Crosswalk "
",2009","2=(through 2009) At Intersection, On Road, Not in Crosswalk"
"2010,",3=(since 2010) At Intersection-Not In Crosswalk
",2009","3=(through 2009) At Intersection, On Road, Crosswalk Unavailable; "
",2009","4=(through 2009) At Intersection, On Road, Unknown Crosswalk Availability"
",2009","5=(through 2009) At Intersection, Not on Road"
,"9=At Intersection, Unknown Location "
"2010,"," (since 2010) Non-Intersection,In Marked Crosswalk"
",2009","10=(through 2009) Non-Intersection,In Crosswalk"
"2010,"," (since 2010) Non-Intersection, On Road, Not in Marked Crosswalk"
",2009","11=(through 2009) Non-Intersection, On Road, Not in Crosswalk"
",2009","12=(through 2009) Non-Intersection, On Road, Crosswalk Not Available"
,"13=Non-Intersection, On Road, Unknown Crosswalk Availability"
"2010,",14=(since 2010) Parking Lane/Zone
",2009","14=(through 2009) Non-Intersection, Parking Lane/Zone "
,"15=Non-Intersection, On Road Shoulder"
",2009","16=(through 2009) Non-Intersection, Bicycle Lane"
"2010,",       (since 2010) Bicycle Lane
",2009","17=(through 2009) Non-Intersection, Outside Trafficway "
",2009","18=(through 2009) Non-Intersection, Other, Not a Road"
",2009","19=(through 2009) Non-Intersection, Unknown"
"2010,",20=(since 2010) Shoulder/Roadside
"2010,",21=(since 2010) Sidewalk 
"2010,",22=(since 2010) Median/Crossing Island 
"2010,",23=(since 2010) Driveway Access 
"2010,",24=(since 2010) Shared-Use Path 
"2010,",25=(since 2010) Non-Trafficway Area 
"2010,",28=(since 2010) Other 
"2010,",98=(since 2010) Not Reported 
,99=Unknown Location
