Field Name_Code,Code Values,Definition
City Secondary Trafficway 2,,The name of the Trafficway that crosses the Primary Trafficway.It is used to describe the relative location of the Collision on the Primary Trafficway between two Secondary Trafficways.
State Route ID,,
State Route Milepost,," A logical number, assigned by a Linear Referencing Method, to a given point along a State Route. This value will always match the Accumulated Route Mileage value unless there has been a realignment or a  jurisdictional transfer which changes the length of a route."
State Route Milepost Ahead_Back Type Code,Descr," An indicator that denotes if the State Route Milepost is within a back mileage equation area. A back mileage equation area occurs when a segment of a State Route is added at any point other than the end of an existing State Route, or when a realignment occurs."
Null,Ahead,
B,Back,
State Route Accumulated Route Milepost or ARM,,The measure of a point along the length of a route in which the distance is measured as an accrual of mileage from the beginning of the route. 
State Route Number,,The number assigned to the State Route and enacted into law by the Washington State Legislature
State Route Related Roadway Type Code,Descr,"A code that represents a classification of a route associated with a mainline state route, examples include: Couplet, Spur, Alternate Route, etc."
NULL,MAINLINE,
AR,ALTERNATE ROUTE,
CD,COLL-DIST DECREASING,
CI,COLL-DIST INCREASING,
CO,COUPLET,
FD,FRONTAGE RD-DECREASING,
FI,FRONTAGE RD-INCREASING,
FT,FERRY TERMINAL,
HD,HOV LANE SEPARATION-DEC,
HI,HOV LANE SEPARATION-INC,
LX,LX RAMP,
P1,P1 RAMP,
P2,P2 RAMP,
P3,P3 RAMP,
P4,P4 RAMP,
P5,P5 RAMP,
P6,P6 RAMP,
P7,P7 RAMP,
Q1,Q1 RAMP,
Q2,Q2 RAMP,
Q5,Q5 RAMP,
Q6,Q6 RAMP,
R1,R1 RAMP,
R2,R2 RAMP,
R3,R3 RAMP,
R5,R5 RAMP,
R6,R6 RAMP,
RL,REVERSIBLE LANE,
S1,S1 RAMP,
S2,S2 RAMP,
S3,S3 RAMP,
S5,S5 RAMP,
S6,S6 RAMP,
S7,S7 RAMP,
SP,SPUR,
TB,TURNBACK,
U1,U1 WEIGH STATION RAMP,
U2,U2 WEIGH STATION RAMP,
W1,W1 WEIGH STATION RAMP,
X1,X1 REST AREA RAMP,
X2,X2 REST AREA RAMP,
X3,X3 REST AREA RAMP,
Y1,Y1 REST AREA RAMP,
Y2,Y2 REST AREA RAMP,
State Route Related Roadway Qualifier,,"A physical location reference used to identify the State Route Related Roadway Type. The State Route Collision Current Related Route Qualifier can be based on a State Route Milepost, or the name of a street or city."
State Route History_Suspense Indicator Type Code,Descr,
,Yes,
,No,
,Sus,
State Route Region Type Code,Descr,A textual description of the geographic and administrative areas of responsibility of the Washington State Department of Transportation within the State of Washington as described in the Chart Of Accounts. 
1,Northwest,
2,North Central,
3,Olympic,
4,Southwest,
5,South Central,
6,Eastern,
8,Ferries,
State Route_State Functional Class Type Code,Descr,A code that denotes a hierarchical grouping of Trafficways based on the level of service they provide as set forth by WSDOT's Strategic Planning and Programming Office.
R1,Rural Principal Arterial,
R2,Rural Minor Arterial,
R3,Rural Collector,
R5,Rural Interstate,
U1,Urban Principal Arterial,
U2,Urban Minor Arterial,
U3,Urban Collector,
U5,Urban Interstate,
State Route Urban_Rural Type Code,Descr,
R,Rural,
U,Urban,
State Route Federal Functional Class Type Code,Descr,The category title for hierarchical grouping of Trafficways based on the level of service they provide as established by FHWA. 
41,Rural Interstate,
42,Rural Other Freeways / Expressways,
43,Rural Other Principal Arterial,
44,Rural Minor Arterial,
45,Rural Major Collector,
46,Rural Minor Collector,
47,Rural Local Access,
51,Urban Interstate,
52,Urban Other Freeways / Expressways,
53,Urban Other Principal Arterial,
54,Urban Minor Arterial,
55,Urban Major Collector,
56,Urban Minor Collector,
57,Urban Local Access,
State Route Intersection Node Description,,Guid/Node that represents an intersection (State Routes only)
State Route Node State Plane X,,State Plane South X of State Route Intersection Node
State Route Node State Plane Y,,State Plane South Y of State Route Intersection Node
State Route Vehicle 1 or 2 Compass Direction Type Code,Descr,"A code that describes Compass Direction of the Motor Vehicle, Pedalcycle or Pedestrian involved in a State Route Collision. "
0,Unknown or Not Applicable,
1,N,
2,NE,
3,E,
4,SE,
5,S,
6,SW,
7,W,
8,NW,
State Route Vehicle 1 or 2 Movement Type Code,Descr,"A code that identifies a Movement Type for the first Motor Vehicle, Pedalcycle or Pedestrian involved in a State Route Collision."
0,Unknown or Not Applicable,
A,Moving Straight,
B,Turning Right,
C,Turning Left,
D,Making U-Turn,
E,Parking,
F,Passing on Right,
G,Passing on Left,
H,Backing,
J,"Merging, Lane Reduction",
K,Merging from Ramp,
L,Driverless Moving Vehicle,
M,Vehicle/Trailer in Tow,
N,Vehicle Position Previous Accident,
P,Parked,
Q,Stopped in Traffic - Legally Standing,
R,Change Lanes to Right,
S,Change Lanes to Left,
T,Crosses over Centerline,
U,Out of Control Merging from On Ramp to Mainline,
V,Out of Control Exiting from Mainline to Off Ramp,
W,Illegally Parked in Road or Stopped in Roadway,
X,Taking Evasive Maneuvers,
Z,Out of Control,
State Route Vehicle 1 or 2 Mile Post Direction Type Code,Descr,"A code that describes the direction relative to the State Route’s Milepost of the second Motor Vehicle, Pedalcycle or Pedestrian involved in a State Route Collision."
0,Unknown or Not Applicable,
A,Increasing milepost of major roadway,
B,Decreasing milepost of major roadway,
C,Entering major roadway from the right,
D,Entering major roadway from the left,
E,Traveling wrong way in the increasing MP of the major roadway,
F,Traveling wrong way in the decreasing MP of the major roadway,
H,"Wrong Way on Ramp, Collector Road or One Way Street",
State Route Diagram Data Collision Type Code,Descr,"A type of impact for a Collision based on which Collision Unit struck another, the movement of the units, and other factors.  "
1,Strikes other vehicle HEAD ON,
2,Strikes LEFT side of other vehicle at angle,
3,Strikes RIGHT side of other vehicle at angle,
4,Sideswipes LEFT side of other vehicle,
5,Sideswipes RIGHT side of other vehicle,
6,Strikes REAR END of other vehicle,
7,Strikes FRONT END of other vehicle (NOT HEAD ON),
11,Was struck by other vehicle HEAD ON,
12,Was struck on LEFT side at angle by other vehicle,
13,Was struck on RIGHT side at angle by other vehicle,
14,Was sideswiped on LEFT side by other vehicle,
15,Was sideswiped on RIGHT side by other vehicle,
16,Was struck in REAR END by other vehicle,
17,Was struck in FRONT END by other vehicle (NOT HEAD ON),
27,Strikes or was struck by OBJECT from other vehicle,
28,Pushed vehicle struck or was struck by THIRD vehicle,
29,All other MULTI VEHICLE involvements,
32,Strikes ANIMAL OR BIRD,
33,Strikes APPURTENANCE,
34,Strikes OTHER OBJECT,
35,Strikes or was struck by WORKING OBJECT,
40,Strikes RAILROAD TRAIN,
41,Was struck by RAILROAD TRAIN,
50,Vehicle OVERTURNED,
54,Non-Collision FIRE,
60,Ran into ROADWAY DITCH,
61,"Ran into RIVER, LAKE, etc.",
62,Ran OVER EMBANKMENT - No guardrail present,
71,PEDESTRIAN struck by vehicle,
72,PEDESTRIAN strikes vehicle,
73,PEDALCYCLIST struck by vehicle,
74,PEDALCYCLIST strikes vehicle,
75,PEDALCYCLIST strikes PEDALCYCLIST,
76,PEDALCYCLIST strikes PEDESTRIAN,
77,PEDALCYCLIST - all other involvements,
88,Pushed vehicle struck by PUSHING vehicle,
98,JACKKNIFE Trailer,
99,All other SINGLE VEHICLE involvements,
State Route Direction To Inventory,Descr,Indicates the side of the State Route the collision occurred on based off the Mile Post Direction of the first impact location
D,Decreasing milepost direction,
I,Increasing milepost direction,
"First/Second Impact Location Type Code__Effective Date 1_1_10 for City, County and Misc Traf",Descr,"A type of position, based on Trafficway features and direction of travel, on which the first impact in a State Route Collision occurred."
A0,Past Right Shoulder Increasing Milepost,
A1,Lane 1 Increasing Milepost,
A2,Lane 2 Increasing Milepost,
A3,Lane 3 Increasing Milepost,
A4,Lane 4 Increasing Milepost,
A5,Lane 5 Increasing Milepost,
A6,Left Turn Lane Increasing Milepost,
A7,Right Shoulder Increasing Milepost,
A8,Median Shoulder Increasing Milepost,
A9,In Median Increasing Milepost,
AA,Lane 6 Increasing Milepost,
AC,Lane 8 Increasing Milepost,
AL,Increasing Other Location,
B1,Intersecting Road Increasing Milepost,
C0,Other Location (City/County/Misc. Trafficway),
C1,Lane of Primary Trafficway,
C2,Outside Shoulder of Primary Trafficway,
C3,Median of Primary Trafficway,
C4,Past the Outside Shoulder of Primary Trafficway,
C5,Intersecting Trafficway,
C7,Median Shoulder of Primary Trafficway,
D0,Past Right Shoulder Decreasing Milepost,
D1,Lane 1 Decreasing Milepost,
D2,Lane 2 Decreasing Milepost,
D3,Lane 3 Decreasing Milepost,
D4,Lane 4 Decreasing Milepost,
D5,Lane 5 Decreasing Milepost,
D6,Left Turn Lane Decreasing Milepost,
D7,Right Shoulder Decreasing Milepost,
D8,Median Shoulder Decreasing Milepost,
D9,In Median Decreasing Milepost,
DA,Lane 6 Decreasing Milepost,
DB,Lane 7 Decreasing Milepost,
DL,Decreasing Other Location,
E1,Intersecting Road Decreasing Milepost,
FT,State Ferry Terminal or Docked Ferry,
H1,Lane 1 Increasing Milepost Side of Mainline,
H2,Lane 2 Increasing Milepost Side of Mainline,
H4,Lane 4 Increasing Milepost Side of Mainline,
H6,Left Turn Lane Increasing Milepost Side of Mainline,
H7,Right Shoulder Increasing Milepost Side of Mainline,
H8,Left Shoulder Increasing Milepost Side of Mainline,
L0,Past Right Shoulder LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L1,Lane 1 LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L2,Lane 2 LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L3,Lane 3 LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L4,Lane 4 LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L5,Lane 5 LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L6,Left Turn Lane LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L7,Right Shoulder LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L8,Left Shoulder LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
L9,Past Left Shoulder LX Increasing Milepost ( Prior to 2002 Impact Location Code was not lane specific),
M0,Past Right Shoulder Increasing Milepost Side of Mainline,
M1,Lane 1 Increasing Milepost Side of Mainline,
M2,Lane 2 Increasing Milepost Side of Mainline,
M3,Lane 3 Increasing Milepost Side of Mainline,
M4,Lane 4 Increasing Milepost Side of Mainline,
M6,Left Turn Lane Increasing Milepost Side of Mainline,
M7,Right Shoulder Increasing Milepost Side of Mainline,
M8,Left Shoulder Increasing Milepost Side of Mainline,
M9,Past Left Shoulder Increasing Milepost Side of Mainline,
N0,Past Right Shoulder Decreasing Milepost Side of Mainline,
N1,Lane 1 Decreasing Milepost Side of Mainline,
N2,Lane 2 Decreasing Milepost Side of Mainline,
N3,Lane 3 Decreasing Milepost Side of Mainline,
N4,Lane 4 Decreasing Milepost Side of Mainline,
N5,Lane 5 Decreasing Milepost Side of Mainline,
N6,Left Turn Lane Decreasing Milepost Side of Mainline,
N7,Right Shoulder Decreasing Milepost Side of Mainline,
N8,Left Shoulder Decreasing Milepost Side of Mainline,
N9,Past Left Shoulder Decreasing Milepost Side of Mainline,
NA,Lane 6 Decreasing Milepost Side of Mainline,
OL,Other Location,
P0,Past Right Shoulder Off Ramp Increasing Milepost Side of Mainline,
P1,Lane 1 Off Ramp Increasing Milepost Side of Mainline,
P2,Lane 2 Off Ramp Increasing Milepost Side of Mainline,
P3,Lane 3 Off Ramp Increasing Milepost Side of Mainline,
P4,Lane 4 Off Ramp Increasing Milepost Side of Mainline,
P5,Lane 5 Off Ramp Increasing Milepost Side of Mainline,
P6,Left Turn Lane Off Ramp Increasing Milepost Side of Mainline,
P7,Right Shoulder Off Ramp Increasing Milepost Side of Mainline,
P8,Left Shoulder Off Ramp Increasing Milepost Side of Mainline,
P9,Past Left Shoulder Off Ramp Increasing Milepost Side of Mainline,
Q0,Past Right Shoulder On Ramp Increasing Milepost Side of Mainline,
Q1,Lane 1 On Ramp Increasing Milepost Side of Mainline,
Q2,Lane 2 On Ramp Increasing Milepost Side of Mainline,
Q3,Lane 3 On Ramp Increasing Milepost Side of Mainline,
Q4,Lane 4 On Ramp Increasing Milepost Side of Mainline,
Q5,Lane 5 On Ramp Increasing Milepost Side of Mainline,
Q6,Left Turn Lane On Ramp Increasing Milepost Side of Mainline,
Q7,Right Shoulder On Ramp Increasing Milepost Side of Mainline,
Q8,Left Shoulder On Ramp Increasing Milepost Side of Mainline,
Q9,Past Left Shoulder On Ramp Increasing Milepost Side of Mainline,
R0,Past Right Shoulder Off Ramp Decreasing Milepost Side of Mainline,
R1,Lane 1 Off Ramp Decreasing Milepost Side of Mainline,
R2,Lane 2 Off Ramp Decreasing Milepost Side of Mainline,
R3,Lane 3 Off Ramp Decreasing Milepost Side of Mainline,
R4,Lane 4 Off Ramp Decreasing Milepost Side of Mainline,
R5,Lane 5 Off Ramp Decreasing Milepost Side of Mainline,
R6,Left Turn Lane Off Ramp Decreasing Milepost Side of Mainline,
R7,Right Shoulder Off Ramp Decreasing Milepost Side of Mainline,
R8,Left Shoulder Off Ramp Decreasing Milepost Side of Mainline,
R9,Past Left Shoulder Off Ramp Decreasing Milepost Side of Mainline,
RA,Lane 6 Off Ramp Decreasing Milepost Side of Mainline,
S0,Past Right Shoulder On Ramp Decreasing Milepost Side of Mainline,
S1,Lane 1 On Ramp Decreasing Milepost Side of Mainline,
S2,Lane 2 On Ramp Decreasing Milepost Side of Mainline,
S3,Lane 3 On Ramp Decreasing Milepost Side of Mainline,
S4,Lane 4 On Ramp Decreasing Milepost Side of Mainline,
S5,Lane 5 On Ramp Decreasing Milepost Side of Mainline,
S6,Left Turn Lane On Ramp Decreasing Milepost Side of Mainline,
S7,Right Shoulder On Ramp Decreasing Milepost Side of Mainline,
S8,Left Shoulder On Ramp Decreasing Milepost Side of Mainline,
S9,Past Left Shoulder On Ramp Decreasing Milepost Side of Mainline,
V0,Past Right Shoulder Decreasing Milepost Side of Mainline,
V1,Lane 1 Decreasing Milepost Side of Mainline,
V4,Lane 4 Decreasing Milepost Side of Mainline,
V7,Right Shoulder Decreasing Milepost Side of Mainline,
V8,Left Shoulder Decreasing Milepost Side of Mainline,
X0,Past Right Shoulder LX Decreasing Milepost,
X1,Lane 1 LX Decreasing Milepost,
X2,Lane 2 LX Decreasing Milepost,
X3,Lane 3 LX Decreasing Milepost,
X4,Lane 4 LX Decreasing Milepost,
X5,Lane 5 LX Decreasing Milepost,
X6,Left Turn Lane LX Decreasing Milepost,
X7,Right Shoulder LX Decreasing Milepost,
X8,Left Shoulder LX Decreasing Milepost,
X9,Past Left Shoulder LX Decreasing Milepost,
RB,Lane 7 Off Ramp Decreasing Milepost Side of Mainline,
RC,Lane 8 Off Ramp Decreasing Milepost Side of Mainline,
S0,Past Right Shoulder On Ramp Decreasing Milepost Side of Mainline,
S1,Lane 1 On Ramp Decreasing Milepost Side of Mainline,
S2,Lane 2 On Ramp Decreasing Milepost Side of Mainline,
S3,Lane 3 On Ramp Decreasing Milepost Side of Mainline,
S4,Lane 4 On Ramp Decreasing Milepost Side of Mainline,
S5,Lane 5 On Ramp Decreasing Milepost Side of Mainline,
S6,Left Turn Lane On Ramp Decreasing Milepost Side of Mainline,
S7,Right Shoulder On Ramp Decreasing Milepost Side of Mainline,
S8,Left Shoulder On Ramp Decreasing Milepost Side of Mainline,
S9,Past Left Shoulder On Ramp Decreasing Milepost Side of Mainline,
SA,Lane 6 On Ramp Decreasing Milepost Side of Mainline,
SB,Lane 7 On Ramp Decreasing Milepost Side of Mainline,
SC,Lane 8 On Ramp Decreasing Milepost Side of Mainline,
V0,Past Right Shoulder Decreasing Milepost Side of Mainline,
V1,Lane 1 Decreasing Milepost Side of Mainline,
V2,Lane 2 Decreasing Milepost Side of Mainline,
V3,Lane 3 Decreasing Milepost Side of Mainline,
V4,Lane 4 Decreasing Milepost Side of Mainline,
V5,Lane 5 Decreasing Milepost Side of Mainline,
V6,Left Turn Lane Decreasing Milepost Side of Mainline,
V7,Right Shoulder Decreasing Milepost Side of Mainline,
V8,Left Shoulder Decreasing Milepost Side of Mainline,
V9,Past Left Shoulder Decreasing Milepost Side of Mainline,
VA,Lane 6 Decreasing Milepost Side of Mainline,
VB,Lane 7 Decreasing Milepost Side of Mainline,
VC,Lane 8 Decreasing Milepost Side of Mainline,
X0,Past Right Shoulder LX Decreasing Milepost,
X1,Lane 1 LX Decreasing Milepost,
X2,Lane 2 LX Decreasing Milepost,
X3,Lane 3 LX Decreasing Milepost,
X4,Lane 4 LX Decreasing Milepost,
X5,Lane 5 LX Decreasing Milepost,
X6,Left Turn Lane LX Decreasing Milepost,
X7,Right Shoulder LX Decreasing Milepost,
X8,Left Shoulder LX Decreasing Milepost,
X9,Past Left Shoulder LX Decreasing Milepost,
XA,Lane 6 LX Decreasing Milepost,
XB,Lane 7 LX Decreasing Milepost,
XC,Lane 8 LX Decreasing Milepost,
County Road Number,,The identifier that the County assigned to the County Road.
County Road Milepost,,"A logical number, assigned by a Linear Referencing Method, to a given point along a Country Road."
County Road Milepost Ahead_Back Type Code,Descr,An indicator that denotes if the County Road Milepost is within a Back Mileage Equation Area.
Null,Ahead,
B,Back,
County_Intersecting County Road Number,,The County Road Number assigned to the County Road that intersects with the County Road on which the Collision occurred.
County_Intersecting County Road Milepost,,The Milepost for the County Road intersecting with the County Road on which the  Collision occurred.
County_Intersecting County Road Milepost Ahead_Back Type Code,Descr,An indicator that denotes if the County Road Collision Intersecting Milepost is within a Back Mileage Equation Area.
Null,Ahead,
B,Back,
County_Federal Functional Class Type Code,Descr,The category title for hierarchical grouping of Trafficways based on the level of service they provide as established by FHWA. 
1,Rural-Interstate,
2,Rural-Principal-Arterial,
6,Rural-Minor-Arterial,
7,Rural-Major-Collector,
11,Urban-Interstate,
12,Urban-Principal-Arterial,
14,Urban-Other-Principal-Arterial,
16,Urban-Minor-Arterial,
17,Urban-Collector,
Miscellaneous Trafficway Type Code,Descr,A classification of Miscellaneous Trafficways based on the type of government or non-government authority that has jurisdiction over the Trafficway.
1,Forest Service Road,
2,National Park Road,
3,College Campus Road,
4,Private Logging Road,
5,Federal Road,
6,Tribal Reservation Road,
7,Other Road,
Miscellaneous Trafficway Primary Trafficway,,The Roadway that the law enforcement officer or citizen considers to be the principal site of the Collision. If the collision occurred where two Roadways cross then the Intersecting Trafficway will contain a value.
Miscellaneous Trafficway Block Number,,"The Building Site Identifier or the range of Building Site Identifiers, in which the Collision occurred, as assigned to the Miscellaneous Trafficway by the jurisdictional authority."
Miscellaneous Trafficway Intersecting Trafficway,,The name of the Roadway that crosses the Primary Trafficway 
Miscellaneous Trafficway Distance From Reference Point,,The distance from the Collision scene to the Trafficway Reference.
Miscellaneous Trafficway Reference Point Miles_Feet Type Code,Descr,An indicator that denotes if the distance from a Reference Point to the Collision is in Miles or Feet.
M,Miles,
F,Feet,
Miscellaneous Trafficway Compass Direction From Reference Point Type Code,Descr,"An abbreviation of the four principal directional indicators, North, South, East , West  and the four points midway between, Northeast, Northwest, Southeast, Southwest, referred to as the intercardinal direction that represents the compass direction of the Collision relative to the Reference Point."
0,Unknown or Not Applicable,
1,N,
2,NE,
3,E,
4,SE,
5,S,
6,SW,
7,W,
8,NW,
Miscellaneous Trafficway Number,,A unique identifier for a Miscellaneous Trafficway assigned by a jurisdictional authority that has responsibility over the Trafficway on or near the scene of the  Collision. 
Miscellaneous Trafficway Milepost,,"A logical number, assigned by a Linear Referencing Method, to a given point along a Traveled Way. "
Miscellaneous Trafficway Reference Point Name,," The name of a Trafficway, landmark or, a description of a place from which an event or object can be located via a linear referencing method. "
Miscellaneous Trafficway Secondary Trafficway 1,,The name of the Trafficway that crosses the Primary Trafficway.It is used to describe the relative location of the Collision on the Primary Trafficway between two Secondary Trafficways. 
Miscellaneous Trafficway Secondary Trafficway 2,,The name of the Trafficway that crosses the Primary Trafficway.It is used to describe the relative location of the Collision on the Primary Trafficway between two Secondary Trafficways. 
Most Severe Injury Type Code,Descr,An code that indicates the most harmful level of physical damage suffered by any one person involved in a Collision.
0,Unknown,
1,No Apparent Injury,
2,Dead at Scene,
3,Dead on Arrival,
4,Died in Hospital,
5,Suspected Serious Injury,
6,Suspected Minor Injury,
7,Possible Injury,
Collision Severity Type Code,Descr,
1,PDO,
2,Injury,
3,Fatal,
Most Severe Sobriety Type Code,Descr Not available since the redesign of the PTCR in 2020,"A code that represents a classification of the level of alcohol impairment of a Motor Vehicle Driver, a Pedestrian or a Pedalcyclist involved in a Collision."
1,HBD - Ability Impaired,
2,HBD - Ability Not Impaired,
3,HBD - Sobriety Unknown,
4,Had NOT Been Drinking,
5,HBD - Ability Impaired (tox test),
6,HBD - Ability Not Impaired (tox test),
7,Had NOT Been Drinking (tox test),
9,Unknown,
First/Second Collision Type Code,Descr,"A description of Collision based on what was struck, and/or the orientation of the Motor Vehicle Units in respect to one another."
0,Vehicle going straight hits pedestrian,
1,Vehicle turning right hits pedestrian,
2,Vehicle turning left hits pedestrian,
3,Vehicle backing hits pedestrian,
4,Vehicle hits Pedestrian - All Other Actions,
5,Vehicle Strikes Pedalcyclist,
6,Pedalcyclist Strikes Moving Vehicle,
7,Pedalcyclist Strikes Pedalcyclist or Pedestrian,
8,"Pedalcyclist All Other Involvements ""ONE UNIT - PEDALCYCLIST ONLY or PEDALCYCLIST STR",
10,Entering at angle,
11,From same direction - both going straight - both moving - sideswipe,
12,From same direction - both going straight - one stopped - sideswipe,
13,From same direction - both going straight - both moving - rear-end,
14,From same direction - both going straight - one stopped - rear-end,
15,From same direction - one left turn - one straight,
16,From same direction - one right turn - one straight,
17,Strikes or Was Struck by Object from the Load of Another Vehicle,
18,Strikes or Was Struck by a Part of Another Vehicle (Not from Load),
19,One car entering parked position,
20,One car leaving parked position,
21,One car entering driveway access,
22,One car leaving driveway access,
23,From same direction - all others,
24,From opposite direction - both moving - head-on,
25,From opposite direction - one stopped - head-on,
26,From opposite direction - both going straight - sideswipe,
27,From opposite direction - both going straight - one stopped - sideswipe,
28,From opposite direction - one left turn - one straight,
29,From opposite direction - one left turn - one right turn,
30,From opposite direction - all others,
31,Not stated,
32,One parked--one moving,
40,Railway Vehicle Strikes Vehicle,
41,Vehicle Strikes Railway Vehicle,
42,Railway Vehicle Strikes Pedestrian,
43,Railway Vehicle Strikes Pedalcyclist,
45,Vehicle - Pedalcyclist,
47,"Domestic animal (horse, cow, sheep, etc)",
48,"Domestic animal other (cat, dog, etc)",
49,"Non-domestic animal (deer, bear, elk, etc)",
50,Fixed object,
51,Other object,
52,Vehicle overturned,
53,"Person fell, jumped or was pushed from vehicle",
54,Fire started in vehicle,
55,Accidentally overcome by carbon monoxide poisoning,
56,Breakage of any part of the vehicle resulting in injury or in further property damage,
57,All other non-collision,
58,Jackknife Trailer,
60,Vehicle Hits State Road or Construction Machinery,Last year used is 2009
61,Vehicle Struck by State Road or Construction Machinery,Last year used is 2009
62,Vehicle Hits County Road or Construction Machinery,Last year used is 2009
63,Vehicle Struck by County Road or Construction Machinery,Last year used is 2009
64,Vehicle Hits City Road or Construction Machinery,Last year used is 2009
65,Vehicle Struck by City Road or Construction Machinery,Last year used is 2009
66,Vehicle Hits Other Road or Construction Machinery,Last year used is 2009
67,Vehicle Struck by Other Road or Construction Machinery,Last year used is 2009
71,Same direction -- both turning right -- both moving -- sideswipe,
72,Same direction -- both turning right -- one stopped -- sideswipe,
73,Same direction -- both turning right -- both moving -- rear end,
74,Same direction -- both turning right -- one stopped -- rear end,
81,Same direction -- both turning left -- both moving -- sideswipe,
82,Same direction -- both turning left -- one stopped -- sideswipe,
83,Same direction -- both turning left -- both moving -- rear end,
84,Same direction -- both turning left -- one stopped -- rear end,
85,Vehicle Strikes Deer,
86,Vehicle Strikes Elk,
